X(East);Y(North);dip;dip azimuth;Type
-4844943.24915196;-3211236.53694509;0;0;Grt-bt gnaisse
-4842994.99540473;-3209303.84357203;80;212;Grt-bt gnaisse
-4842327.17516892;-3210218.70984351;29;68;Grt-bt-sill metatexito
-4842456.83019492;-3209915.86245765;18;228;Grt-sill-ms-bt metatexito
-4841112.57336688;-3209739.42733622;5;272;Bt gnaisse +/- grt
-4840871.56659907;-3209354.65201978;17;210;Grt-sill-ms-bt metatexito
-4840632.87398331;-3208424.75376582;30;208;Quartzito
-4839259.88919724;-3207883.27527839;0;0;Bt gnaisse +/- grt
-4839241.656966;-3212358.64995325;35;262;Quartzito
-4842685.44100029;-3213766.01183288;26;120;Grt-bt-sill metatexito
