X;Y;UNIDADE;FOL_SENTIDO;FOL_DIP
-21.844908716414366;44.02147705788704;Grt-bt gnaisse;0;0
-21.83693934635717;-44.00310839366836;Grt-bt gnaisse;212;80
-21.844432197141952;-44.00076313618577;Grt-bt-sill metatexito;68;29
-21.842165586013763;-44.00090468248686;Grt-sill-ms-bt metatexito;228;18
-21.84416575824712;-43.991127347263436;Bt gnaisse +/- grt;272;5
-21.84223445401458;-43.98848962169434;Grt-sill-ms-bt metatexito;210;17
-21.836762628960486;-43.98450297199628;Quartzito;208;30
-21.836460339981333;-43.973610166127045;Bt gnaisse +/- grt;0;0
-21.865527116612068;-43.984696458782;Quartzito;262;35
-21.86658828237363;-44.01214505174731;Grt-bt-sill metatexito;120;26
